initial conditions:
****     696.8900 -1.445e-01 1.160e-01
****     704.0267 -1.762e-01 2.052e-01
****     711.6400 7.840e-02 3.190e-01
****     718.9033 1.773e-01 2.437e-01
****     726.1367 -5.731e-05 1.696e-01
****     733.0967 -1.514e-01 1.445e-01
****     740.4733 -1.057e-01 2.909e-01
****     747.8733 1.637e-01 3.109e-01
****     755.0267 1.974e-01 2.309e-01
****     762.1967 -1.389e-02 1.593e-01
****     769.1067 -1.576e-01 1.224e-01
****     776.3667 -1.493e-01 2.557e-01
****     783.8600 1.351e-01 3.158e-01
****     791.0500 1.923e-01 2.356e-01
****     798.2400 -7.720e-03 1.625e-01
initial conditions:
[ 0.   -0.08] [0.4478854 0.2      ]
****       0.0000 -7.967e-02 2.001e-01
****       7.4533 -5.617e-02 2.847e-01
****      14.9500 1.172e-01 2.631e-01
****      22.3000 1.895e-02 1.939e-01
****      29.4300 -1.229e-01 1.994e-01
****      37.0067 -4.493e-03 3.041e-01
****      44.4100 1.395e-01 2.516e-01
****      51.7133 -7.517e-04 1.859e-01
****      58.8133 -1.342e-01 1.940e-01
****      66.3967 -1.956e-03 3.085e-01
****      73.7767 1.506e-01 2.559e-01
****      81.0667 1.466e-02 1.806e-01
****      88.0867 -1.406e-01 1.670e-01
****      95.5567 -6.265e-02 3.053e-01
****     102.9333 1.691e-01 2.925e-01
****     110.1367 1.405e-01 1.979e-01
****     117.1633 -9.243e-02 1.532e-01
****     124.3033 -1.557e-01 2.114e-01
****     131.9233 6.408e-02 3.093e-01
****     139.2467 1.448e-01 2.311e-01
****     146.4800 -4.123e-02 1.826e-01
****     153.6667 -1.294e-01 2.240e-01
****     161.2867 5.633e-02 2.967e-01
****     168.6767 1.052e-01 2.196e-01
****     175.8900 -7.288e-02 1.959e-01
****     183.2933 -7.426e-02 2.768e-01
****     190.8133 1.124e-01 2.698e-01
****     198.1733 3.517e-02 1.948e-01
****     205.2800 -1.214e-01 1.914e-01
****     212.8167 -2.684e-02 3.040e-01
****     220.2233 1.484e-01 2.639e-01
****     227.5200 3.439e-02 1.815e-01
****     234.5100 -1.372e-01 1.562e-01
****     241.8933 -9.795e-02 2.893e-01
****     249.3133 1.566e-01 3.013e-01
****     256.5133 1.599e-01 2.107e-01
****     263.6200 -6.835e-02 1.634e-01
****     270.7400 -1.518e-01 2.043e-01
****     278.3633 4.490e-02 3.100e-01
****     285.7067 1.466e-01 2.377e-01
****     292.9633 -2.768e-02 1.831e-01
****     300.1133 -1.332e-01 2.114e-01
****     307.7333 3.616e-02 3.027e-01
****     315.1167 1.248e-01 2.323e-01
****     322.3800 -4.566e-02 1.927e-01
****     329.6700 -1.041e-01 2.501e-01
****     337.2600 8.199e-02 2.812e-01
****     344.6533 5.990e-02 2.059e-01
****     351.8167 -1.029e-01 1.995e-01
****     359.3400 -3.084e-02 2.965e-01
****     366.7867 1.311e-01 2.576e-01
****     374.1100 1.002e-02 1.888e-01
****     381.2133 -1.303e-01 1.933e-01
****     388.7833 -9.409e-03 3.074e-01
****     396.1733 1.506e-01 2.581e-01
****     403.4633 2.039e-02 1.807e-01
****     410.4733 -1.398e-01 1.631e-01
****     417.9167 -7.421e-02 3.012e-01
****     425.3000 1.658e-01 2.968e-01
****     432.5000 1.520e-01 2.036e-01
****     439.5633 -8.108e-02 1.585e-01
****     446.6933 -1.540e-01 2.083e-01
****     454.3200 5.648e-02 3.091e-01
****     461.6533 1.443e-01 2.331e-01
****     468.8967 -3.725e-02 1.836e-01
****     476.0800 -1.288e-01 2.226e-01
****     483.7000 5.314e-02 2.972e-01
****     491.0900 1.067e-01 2.213e-01
****     498.3133 -6.966e-02 1.963e-01
****     505.7100 -7.583e-02 2.750e-01
